iter	RMSE
0	7.657936465
10	7.305913612
20	6.997818113
30	6.727005621
40	6.493820181
50	6.290427698
60	6.114053597
70	5.960574262
80	5.825598713
90	5.712327108
100	5.607868228
110	5.520301444
120	5.442407429
130	5.375980611
140	5.316259615
150	5.267054305
160	5.223474585
170	5.181624764
180	5.144715423
190	5.114150947
200	5.085773168
210	5.060939426
220	5.03525798
230	5.012695149
240	4.992539138
250	4.973172602
260	4.957153077
270	4.941931298
280	4.927604133
290	4.915334149
300	4.903193243
310	4.890569378
320	4.878882637
330	4.869071381
340	4.859621209
350	4.849537792
360	4.839741356
370	4.831523135
380	4.824535581
390	4.817721878
400	4.809367487
410	4.802461141
420	4.795864568
430	4.789937155
440	4.783701296
450	4.777119765
460	4.771979518
470	4.765609576
480	4.759412561
490	4.753585075
500	4.748440383
510	4.742072775
520	4.737059377
530	4.73165418
540	4.726869441
550	4.72130803
560	4.716276628
570	4.711478429
580	4.707215539
590	4.702663572
600	4.697849681
610	4.692926965
620	4.688503898
630	4.683412335
640	4.67894075
650	4.674610596
660	4.669792266
670	4.665905478
680	4.660475711
690	4.655046064
700	4.649976729
710	4.645852551
720	4.642032863
730	4.638660373
740	4.634761696
750	4.629825458
760	4.624849609
770	4.620801122
780	4.616681494
790	4.612828576
800	4.608851897
810	4.605258061
820	4.599924062
830	4.595884003
840	4.592097969
850	4.588579921
860	4.585375745
870	4.580947363
880	4.577214483
890	4.573698145
900	4.571201641
910	4.567775346
920	4.564139754
930	4.559997814
940	4.556466458
950	4.552583149
960	4.54882407
970	4.545367385
980	4.541698491
990	4.537858479
1000	4.534356806
1010	4.531281302
1020	4.527703172
1030	4.523862625
1040	4.521049716
1050	4.51780385
1060	4.513780568
1070	4.510182132
1080	4.506650896
1090	4.503478402
1100	4.499895949
1110	4.49705799
1120	4.494407265
1130	4.491407813
1140	4.488122373
1150	4.485279798
1160	4.482605948
1170	4.478953283
