iter	Passed	Remaining
0	171	514174
1	186	280262
2	204	204648
3	223	167611
4	242	145072
5	263	131530
6	284	121518
7	304	114053
8	333	110894
9	353	105824
10	374	101689
11	398	99212
12	419	96479
13	438	93420
14	462	91968
15	480	89635
16	495	86989
17	510	84542
18	524	82334
19	539	80413
20	554	78680
21	578	78374
22	600	77714
23	652	80943
24	682	81178
25	724	82867
26	761	83860
27	808	85792
28	852	87337
29	881	87247
30	904	86640
31	926	85900
32	948	85306
33	968	84482
34	994	84280
35	1026	84516
36	1055	84519
37	1083	84452
38	1105	83930
39	1129	83550
40	1155	83386
41	1178	82978
42	1220	83932
43	1243	83573
44	1267	83220
45	1287	82675
46	1306	82075
47	1324	81477
48	1343	80905
49	1362	80358
50	1379	79774
51	1397	79226
52	1417	78807
53	1433	78200
54	1455	77940
55	1476	77643
56	1498	77364
57	1514	76820
58	1531	76333
59	1548	75878
60	1565	75420
61	1583	75027
62	1601	74680
63	1623	74455
64	1651	74554
65	1680	74702
66	1700	74450
67	1718	74085
68	1735	73726
69	1752	73346
70	1770	73056
71	1788	72731
72	1804	72359
73	1820	72001
74	1837	71658
75	1853	71310
76	1870	71006
77	1890	70810
78	1913	70762
79	1931	70493
80	1947	70181
81	1965	69947
82	1967	69154
83	1986	68942
84	2005	68773
85	2023	68569
86	2045	68472
87	2064	68301
88	2105	68875
89	2127	68773
90	2145	68569
91	2162	68342
92	2180	68154
93	2198	67957
94	2217	67809
95	2237	67675
96	2256	67545
97	2274	67352
98	2290	67114
99	2310	66990
100	2328	66837
101	2346	66669
102	2366	66554
103	2384	66401
104	2402	66251
105	2431	66395
106	2451	66291
107	2469	66130
108	2486	65960
109	2504	65799
110	2521	65637
111	2539	65478
112	2555	65299
113	2572	65114
114	2589	64966
115	2612	64954
116	2630	64819
117	2647	64657
118	2664	64517
119	2683	64392
120	2700	64255
121	2719	64164
122	2737	64039
123	2755	63920
124	2774	63817
125	2791	63670
126	2812	63630
127	2834	63609
128	2851	63464
129	2867	63312
130	2883	63146
131	2900	63011
132	2918	62918
133	2935	62786
134	2952	62650
135	2968	62517
136	2987	62424
137	3005	62330
138	3022	62215
139	3039	62100
140	3056	61982
141	3074	61871
142	3090	61747
143	3107	61637
144	3124	61526
145	3143	61456
146	3162	61382
147	3185	61391
148	3209	61414
149	3230	61379
150	3249	61301
151	3267	61221
152	3292	61262
153	3321	61379
154	3324	61017
155	3357	61214
156	3393	61458
157	3434	61769
158	3469	61997
159	3495	62037
160	3522	62115
161	3551	62217
162	3612	62877
163	3635	62872
164	3659	62873
165	3691	63026
166	3737	63395
167	3769	63536
168	3798	63632
169	3824	63661
170	3846	63633
171	3876	63737
172	3895	63652
173	3919	63655
174	3940	63618
175	3969	63696
176	3997	63758
177	4031	63912
178	4055	63916
179	4086	64027
180	4117	64129
181	4143	64158
182	4167	64158
183	4187	64087
184	4206	64001
185	4226	63937
186	4244	63854
187	4263	63773
188	4283	63705
189	4309	63730
190	4331	63698
191	4360	63778
192	4386	63795
193	4412	63817
194	4434	63786
195	4457	63770
196	4476	63686
197	4503	63730
198	4530	63767
199	4552	63730
200	4576	63726
201	4614	63914
202	4660	64211
203	4710	64563
204	4737	64587
205	4776	64788
206	4797	64736
207	4824	64755
208	4844	64687
209	4871	64715
210	4900	64769
211	4929	64822
212	4958	64880
213	4987	64933
214	5016	64983
215	5057	65184
216	5083	65193
217	5118	65324
218	5155	65467
219	5183	65506
220	5216	65600
221	5253	65742
222	5275	65697
223	5293	65606
224	5311	65506
225	5330	65426
226	5350	65354
227	5368	65268
228	5386	65178
229	5408	65131
230	5427	65062
231	5446	64981
232	5466	64922
233	5489	64885
234	5531	65079
235	5557	65093
236	5578	65035
237	5599	64982
238	5619	64918
239	5641	64882
240	5664	64852
241	5688	64829
242	5710	64792
243	5749	64936
244	5783	65033
245	5816	65119
246	5846	65161
247	5872	65161
248	5896	65142
249	5922	65144
250	5948	65151
251	5978	65199
252	6007	65229
253	6040	65308
254	6077	65427
255	6104	65427
256	6129	65424
257	6152	65385
258	6172	65327
259	6197	65312
260	6220	65282
261	6259	65409
262	6294	65507
263	6321	65514
264	6340	65440
265	6359	65363
266	6381	65325
267	6416	65408
268	6452	65504
269	6486	65583
270	6516	65617
271	6556	65756
272	6587	65799
273	6611	65781
274	6635	65747
275	6660	65737
276	6683	65705
277	6713	65733
278	6734	65684
279	6759	65659
280	6795	65751
281	6843	65961
282	6869	65952
283	6893	65929
284	6920	65930
285	6944	65898
286	6973	65921
287	6997	65896
288	7020	65854
289	7047	65861
290	7073	65849
291	7102	65864
292	7128	65857
293	7146	65781
294	7164	65690
295	7181	65608
296	7202	65550
297	7228	65544
298	7251	65508
299	7275	65476
300	7297	65437
301	7324	65439
302	7346	65394
303	7365	65316
304	7383	65242
305	7402	65172
306	7422	65109
307	7439	65023
308	7457	64948
309	7474	64863
310	7493	64791
311	7513	64731
312	7535	64689
313	7556	64637
314	7574	64565
315	7592	64487
316	7609	64401
317	7625	64316
318	7642	64226
319	7658	64142
320	7675	64054
321	7690	63958
322	7705	63861
323	7721	63771
324	7736	63678
325	7752	63590
326	7768	63504
327	7785	63424
328	7802	63341
329	7804	63141
330	7821	63071
331	7839	63002
332	7857	62928
333	7874	62855
334	7891	62782
335	7908	62705
336	7926	62631
337	7944	62568
338	7966	62532
339	7986	62479
340	8002	62402
341	8019	62327
342	8040	62283
343	8057	62210
344	8075	62147
345	8093	62083
346	8111	62017
347	8129	61955
348	8150	61913
349	8172	61879
350	8200	61889
351	8226	61882
352	8250	61869
353	8271	61822
354	8289	61763
355	8308	61707
356	8327	61650
357	8352	61638
358	8372	61589
359	8390	61527
360	8408	61468
361	8426	61408
362	8447	61364
363	8467	61317
364	8487	61272
365	8506	61222
366	8525	61167
367	8543	61104
368	8561	61041
369	8578	60978
370	8598	60933
371	8617	60875
372	8633	60807
373	8652	60751
374	8670	60694
375	8686	60622
376	8703	60555
377	8722	60503
378	8739	60437
379	8757	60377
380	8775	60321
381	8797	60291
382	8816	60244
383	8837	60205
384	8859	60177
385	8878	60127
386	8897	60074
387	8918	60041
388	8939	60003
389	8959	59961
390	8979	59917
391	9000	59883
392	9028	59889
393	9048	59849
394	9067	59798
395	9085	59747
396	9103	59686
397	9120	59626
398	9139	59579
399	9156	59517
400	9173	59458
401	9191	59402
402	9210	59354
403	9229	59303
404	9246	59245
405	9265	59199
406	9282	59136
407	9298	59073
408	9317	59025
409	9334	58967
410	9351	58908
411	9369	58852
412	9387	58800
413	9403	58739
414	9421	58687
415	9443	58660
416	9463	58619
417	9481	58565
418	9498	58511
419	9519	58478
420	9536	58420
421	9553	58361
422	9569	58299
423	9585	58233
424	9599	58159
425	9613	58084
426	9627	58015
427	9655	58023
428	9670	57955
429	9685	57890
430	9701	57827
431	9717	57762
432	9732	57699
433	9748	57639
434	9764	57578
435	9781	57521
436	9797	57461
437	9813	57399
438	9829	57343
439	9844	57279
440	9860	57219
441	9876	57156
442	9891	57094
443	9907	57033
444	9922	56970
445	9938	56910
446	9953	56851
447	9969	56789
448	9984	56725
449	9999	56664
450	10015	56608
451	10031	56550
452	10046	56488
453	10062	56430
454	10078	56372
455	10094	56314
456	10112	56271
457	10129	56223
458	10146	56171
459	10162	56114
460	10177	56051
461	10199	56032
462	10214	55968
463	10228	55906
464	10243	55845
465	10259	55789
466	10275	55732
467	10291	55677
468	10306	55619
469	10321	55561
470	10337	55504
471	10353	55450
472	10368	55395
473	10384	55341
474	10401	55294
475	10420	55257
476	10438	55212
477	10454	55161
478	10470	55107
479	10488	55063
480	10506	55020
481	10522	54970
482	10541	54932
483	10557	54881
484	10573	54827
485	10589	54780
486	10606	54732
487	10623	54684
488	10628	54578
489	10644	54524
490	10659	54471
491	10676	54422
492	10691	54367
493	10711	54336
494	10727	54288
495	10744	54241
496	10760	54194
497	10779	54157
498	10784	54051
499	10800	54003
500	10818	53963
501	10834	53912
502	10850	53863
503	10866	53816
504	10882	53766
505	10898	53716
506	10916	53676
507	10931	53626
508	10947	53575
509	10962	53523
510	10978	53473
511	10993	53421
512	11011	53384
513	11026	53331
514	11041	53279
515	11058	53236
516	11077	53200
517	11092	53149
518	11108	53100
519	11125	53058
520	11143	53021
521	11158	52972
522	11173	52920
523	11188	52866
524	11202	52812
525	11217	52760
526	11232	52710
527	11248	52663
528	11263	52614
529	11280	52570
530	11295	52520
531	11310	52470
532	11325	52421
533	11341	52373
534	11357	52327
535	11372	52279
536	11389	52238
537	11406	52197
538	11421	52150
539	11437	52106
540	11454	52063
541	11469	52014
542	11493	52007
543	11517	51996
544	11532	51948
545	11547	51901
546	11563	51855
547	11579	51810
548	11594	51764
549	11610	51717
550	11625	51671
551	11641	51627
552	11657	51581
553	11672	51538
554	11689	51497
555	11705	51454
556	11723	51418
557	11739	51374
558	11755	51331
559	11770	51285
560	11787	51245
561	11803	51203
562	11818	51157
563	11833	51111
564	11850	51072
565	11865	51027
566	11881	50983
567	11896	50938
568	11912	50893
569	11927	50847
570	11942	50802
571	11957	50757
572	11973	50715
573	11989	50671
574	12005	50633
575	12008	50537
576	12026	50502
577	12042	50462
578	12058	50421
579	12074	50381
580	12091	50341
581	12107	50301
582	12123	50262
583	12138	50217
584	12154	50174
585	12169	50131
586	12183	50081
587	12197	50035
588	12212	49989
589	12227	49945
590	12242	49902
591	12258	49861
592	12274	49821
593	12290	49784
594	12306	49743
595	12324	49709
596	12341	49677
597	12358	49640
598	12375	49603
599	12391	49567
600	12407	49528
601	12425	49495
602	12441	49456
603	12457	49418
604	12473	49378
605	12490	49342
606	12505	49302
607	12521	49263
608	12537	49225
609	12554	49189
610	12572	49159
611	12590	49126
612	12607	49095
613	12626	49064
614	12643	49033
615	12663	49010
616	12681	48980
617	12699	48946
618	12717	48919
619	12734	48882
620	12752	48852
621	12768	48815
622	12785	48781
623	12803	48751
624	12819	48714
625	12836	48679
626	12853	48644
627	12869	48609
628	12885	48572
629	12902	48536
630	12918	48501
631	12935	48467
632	12952	48433
633	12968	48396
634	12970	48308
635	12987	48273
636	13003	48238
637	13026	48228
638	13044	48196
639	13060	48161
640	13077	48127
641	13095	48099
642	13112	48066
643	13132	48042
644	13148	48008
645	13164	47970
646	13180	47935
647	13198	47903
648	13213	47867
649	13231	47836
650	13247	47800
651	13263	47763
652	13279	47729
653	13297	47699
654	13314	47667
655	13332	47639
656	13353	47620
657	13370	47590
658	13389	47563
659	13409	47542
660	13428	47518
661	13447	47492
662	13465	47463
663	13486	47445
664	13509	47436
665	13529	47413
666	13546	47380
667	13563	47350
668	13583	47329
669	13608	47323
670	13625	47291
671	13633	47232
672	13653	47207
673	13671	47179
674	13689	47153
675	13710	47134
676	13729	47109
677	13745	47076
678	13763	47045
679	13781	47020
680	13800	46993
681	13817	46962
682	13834	46930
683	13850	46898
684	13867	46865
685	13884	46833
686	13900	46799
687	13916	46766
688	13934	46739
689	13953	46713
690	13971	46687
691	13989	46657
692	14006	46628
693	14027	46609
694	14044	46579
695	14064	46557
696	14081	46528
697	14099	46501
698	14116	46470
699	14133	46438
700	14149	46405
701	14165	46370
702	14180	46332
703	14195	46296
704	14211	46261
705	14227	46228
706	14229	46149
707	14245	46116
708	14262	46085
709	14279	46057
710	14297	46029
711	14314	46000
712	14332	45972
713	14349	45943
714	14370	45924
715	14394	45919
716	14416	45904
717	14440	45897
718	14463	45884
719	14483	45863
720	14500	45834
721	14519	45811
722	14542	45800
723	14560	45771
724	14577	45741
725	14593	45709
726	14609	45678
